"Main ID","Incident ID","Incident Type","Region of Incident","Incident Date","Incident year","Reported Month","Number of Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Migration route","Location of death","Information Source",Coordinates,"UNSD Geographical Grouping","Article title","Source Quality",URL
2016.MMP007610,2016.MMP007610,Incident,"Northern Africa",2016-10-29,2016,October,7,,7,,,,,Unknown,Violence,"Sahara Desert crossing","Unspecified location, Libya",MHub,"POINT (14.3336145 27.0663171)","Northern Africa","MHub Survey Data Italy 1.17",2,
2016.MMP007611,2016.MMP007611,Incident,"Northern Africa",2016-10-29,2016,October,1,,1,,,,,Unknown,Violence,,"Subratah, Libya",MHub,"POINT (12.4495221 32.7811016)","Northern Africa","MHub Survey Data Italy 2017",2,
2016.MMP007612,2016.MMP007612,Incident,"Northern Africa",2016-10-29,2016,October,5,,5,,,,,Unknown,"Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Sahara Desert, between Khartoum, Sudan and Libya",MHub,"POINT (24.4293268 19.6438237)","Northern Africa","MHub Survey Data Italy 2017",2,
2016.MMP007613,2016.MMP007613,Incident,"Northern Africa",2016-10-29,2016,October,2,,2,,,,,Unknown,"Mixed or unknown","Sahara Desert crossing","Unspecified location, Libya",MHub,"POINT (14.3336145 27.0663171)","Northern Africa","MHub Survey Data Italy 1.17",2,
2016.MMP007614,2016.MMP007614,Incident,"Central America",2016-11-30,2016,November,1,,1,,,1,,"Central America","Sickness / lack of access to adequate healthcare",,"Juchitan Hospital, Ixtepec, Oaxaca, Mexico","Grupo Beta Ixtepec","POINT (-95.1357525 16.495043)","Central America",,1,
2016.MMP007615,2016.MMP007615,Incident,Mediterranean,2016-11-01,2016,November,12,99,111,29,,,3,Mixed,Drowning,"Central Mediterranean","25 miles off the coast of Libya","IOM Italy","POINT (16.3516697 30.8804954)",Uncategorized,,4,
2016.MMP007616,2016.MMP007616,Incident,"Eastern Africa",2016-11-01,2016,November,2,,2,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","At the border of Eritrea and Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (35.6721952 15.893138)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007617,2016.MMP007617,Incident,"South-eastern Asia",2016-11-02,2016,November,54,6,60,39,,,1,"Southern Asia",Drowning,,"Near unspecified island in Indonesia",AFP,"POINT (123.0062604 -1.4674013)","South-eastern Asia","Death toll in Indonesia boat accident rises to 54 as dozens of bodies found - See more at: http://news.asiaone.com/news/asia/death-toll-indonesia-boat-accident-rises-54-dozens-bodies-found#sthash.jYDsSoNq.dpuf",1,http://bit.ly/2h0McDs
2016.MMP007618,2016.MMP007618,Incident,Mediterranean,2016-11-02,2016,November,,128,128,2,,,,Mixed,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy","IOM Italy","POINT (14.4988153 34.2533716)",Uncategorized,,4,
2016.MMP007619,2016.MMP007619,Incident,Mediterranean,2016-11-04,2016,November,1,,1,48,,1,,"Western / Southern Asia (P)",Drowning,"Eastern Mediterranean","Died upon arrival to port of Karlovasi, Samos, Greece. Shipwreck occurred at unspecified location between Turkey and Samos. ","IOM Greece","POINT (26.6778283 37.7245805)",Uncategorized,,4,http://www.hcg.gr/node/13815
2016.MMP007620,2016.MMP007620,Incident,"North America",2016-11-04,2016,November,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.106567 31.723883)","Northern America",,1,
2016.MMP007621,2016.MMP007621,Incident,Mediterranean,2016-11-05,2016,November,10,12,22,,12,,,"Sub-Saharan Africa (P)","Mixed or unknown","Central Mediterranean","Unspecified location between Libya and Italy","Italian Coast Guard","POINT (14.4988153 34.2533716)",Uncategorized,,5,http://bit.ly/2eeGpvQ
2016.MMP007622,2016.MMP007622,Incident,Mediterranean,2016-11-05,2016,November,1,,1,,,,,Unknown,"Mixed or unknown","Central Mediterranean","Unspecified location between Libya and Italy",UNHCR,"POINT (14.4988153 34.2533716)",Uncategorized,,4,
2016.MMP007623,2016.MMP007623,Incident,Mediterranean,2016-11-06,2016,November,1,,1,115,,,,Unknown,Drowning,"Central Mediterranean","Unspecified location northwest of Khoms, Libya",AFP,"POINT (14.3136308 32.7632988)",Uncategorized,"Libyan coastguard rescues 115 migrants off Tripoli",1,http://dailym.ai/2eNLfwC
2016.MMP007624,2016.MMP007624,Incident,"Central America",2016-11-04,2016,November,1,,1,,,1,,"Central America",Drowning,"US-Mexico border crossing","Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","Laredo Monitor","POINT (-99.6148525 27.4531416)","Central America",,1,http://bit.ly/2fT0Hvz
2016.MMP007625,"2016.MMP0076251075,2016.MMP0076251076,2016.MMP0076251077","Split Incident",Caribbean,2016-11-06,2016,November,,19,19,,,,,"South America","Mixed or unknown",,"Between Nassau, Bahamas and Miami, Florida, USA","IOM Brazil, Business Standard News","POINT (-79.7192827 25.3589927)",Uncategorized,"Brazil seeking 19 migrants lost at sea",4,http://bit.ly/2hERIzf
2016.MMP007626,2016.MMP007626,Incident,"Northern Africa",2016-11-07,2016,November,1,,1,,1,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Al Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (35.3417723 14.0316722)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007627,2016.MMP007627,Incident,"Northern Africa",2016-11-07,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.5025561 15.5015341)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007628,2016.MMP007628,Incident,"Northern Africa",2016-11-07,2016,November,3,,3,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Mountain cave in the desert, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (28.43227 20.01051)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007629,2016.MMP007629,Incident,"Northern Africa",2016-11-07,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","In the desert around Asyut, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (30.9881202 27.1170691)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007630,2016.MMP007630,Incident,"Northern Africa",2016-11-07,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Sinnar, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.19502 12.9179932)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007631,2016.MMP007631,Incident,"Northern Africa",2016-11-07,2016,November,2,,2,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Desert of Aswan on border of Sudan and Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (31.1501554 21.9470654)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007632,2016.MMP007632,Incident,"South-eastern Asia",2016-11-07,2016,November,,5,5,,1,,4,"Southern Asia",Drowning,,"Naf River, on border between Bangladesh and Myanmar","Arakan Times","POINT (92.2139799 20.9649223)","South-eastern Asia","5 Rohingya refuge seekers drown in Naf-river",1,http://bit.ly/2lLfCr5
2016.MMP007633,2016.MMP007633,Incident,Mediterranean,2016-11-09,2016,November,4,22,26,,,,,Mixed,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy","IOM Italy","POINT (14.4988153 34.2533716)",Uncategorized,,4,
2016.MMP007634,2016.MMP007634,Incident,"North America",2016-11-09,2016,November,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.07773 32.5788)","Northern America",,5,
2016.MMP007635,2016.MMP007635,Incident,"Central America",2016-11-10,2016,November,1,,1,,1,,,Caribbean,"Sickness / lack of access to adequate healthcare",,"Hospital Mexico, San José, Costa Rica.","Presidency of Costa Rica (Official communiqué)","POINT (-84.1168109 9.9513947)","Central America",http://presidencia.go.cr/elmigrante-post/muere-migrante-irregular-haitiana-en-hospital-mexico/amp/,5,http://bit.ly/2fv6Gll
2016.MMP007636,2016.MMP007636,Incident,"Northern Africa",2016-11-11,2016,November,10,,10,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Around abu hamad in the desert, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.2973288 19.5252595)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007637,2016.MMP007637,Incident,"Central America",2016-11-11,2016,November,1,,1,,,1,,"Central America","Vehicle accident / death linked to hazardous transport",,"Between Tacotulpa and Teapa, Tabasco, Mexico","Diario Presente","POINT (-93.4512256 18.1404396)","Central America","Muere indocumentado hondureño al caer de “La Bestia”",1,http://bit.ly/2g4nxAk
2016.MMP007638,2016.MMP007638,Incident,"Central America",2016-11-12,2016,November,1,,1,,,1,,"South America",Violence,"US-Mexico border crossing","Río Grande, Nuevo Laredo, Tamaulipas, Mexico","Brazilian Voice","POINT (-99.6146319 27.4531416)","Central America","Jovem morto na fronteira do México é enterrado em Minas Gerais",1,http://bit.ly/2hWRiAv
2016.MMP007639,2016.MMP007639,Incident,Mediterranean,2016-11-14,2016,November,5,1,6,114,,,,"Sub-Saharan Africa (P)",Drowning,"Central Mediterranean","Unspecified location between Libya and Italy","SOS Mediteranee","POINT (14.4988153 34.2533716)",Uncategorized,"BREAKING: SOS MEDITERRANEE SAVES 114 REFUGEES, SIX DIE AT SEA",4,http://bit.ly/2fc0vn7
2016.MMP007640,2016.MMP007640,Incident,Mediterranean,2016-11-14,2016,November,,135,135,15,,135,,"Sub-Saharan Africa (P)",Drowning,"Central Mediterranean","Unspecified location between Libya and Italy","IOM Italy","POINT (14.4988153 34.2533716)",Uncategorized,,4,http://bit.ly/2eZjnox
2016.MMP007641,2016.MMP007641,Incident,Mediterranean,2016-11-14,2016,November,,3,3,122,,3,1,Unknown,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy",UNHCR,"POINT (14.4988153 34.2533716)",Uncategorized,,4,http://ind.pn/2ghvm6B
2016.MMP007642,2016.MMP007642,Incident,"Northern Africa",2016-11-14,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown",,"In the Nile River around Al Bawga, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.6471324 19.3550784)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007643,2016.MMP007643,Incident,"Eastern Africa",2016-11-14,2016,November,3,,3,,,,,"Eastern Africa (P)","Mixed or unknown",,"Around Metema Road, Shawira, Ethiopia","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (36.8649179 11.9341684)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007644,2016.MMP007644,Incident,"Northern Africa",2016-11-14,2016,November,4,,4,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","In the Sahara Desert near Egypt-Sudan border","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (28.47623 21.73561)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007645,2016.MMP007645,Incident,"Northern Africa",2016-11-14,2016,November,2,,2,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Wad Madani, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.4611726 14.3830752)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007646,2016.MMP007646,Incident,"Northern Africa",2016-11-14,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Near Atbara, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.9762492 17.6922271)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007647,2016.MMP007647,Incident,"Northern Africa",2016-11-14,2016,November,4,,4,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","In the desert near Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (30.6654494 23.459686)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007648,2016.MMP007648,Incident,"South-eastern Asia",2016-11-15,2016,November,3,,3,,2,1,3,"Southern Asia",Drowning,,"Naf River, on border between Bangladesh and Myanmar",OHCHR,"POINT (92.2139799 20.9649223)","South-eastern Asia","Report of OHCHR mission to Bangladesh: Interviews with Rohingyas fleeing from Myanmar since 9 October 2016 - Flash Report",4,http://bit.ly/2kwtWGq
2016.MMP007649,2016.MMP007649,Incident,Mediterranean,2016-11-15,2016,November,4,95,99,23,,,,Mixed,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy",Reuters,"POINT (14.4988153 34.2533716)",Uncategorized,"Rescuers pick up 1 body, save 298 amid heavy seas: Italy coast guard",1,http://reut.rs/2fUu5yu
2016.MMP007650,2016.MMP007650,Incident,Mediterranean,2016-11-16,2016,November,4,,4,15,,4,,"Western / Southern Asia (P)",Drowning,"Eastern Mediterranean","14 km east of Thassos, Greece","Hellenic Coast Guard","POINT (24.6518013 40.6497756)",Uncategorized,"Επιχείρηση εντοπισμού και διάσωσης αλλοδαπών στην ευρύτερη θαλάσσια περιοχή της ν. Σαμοθράκης",5,http://hcg.gr/node/13883
2016.MMP007651,2016.MMP007651,Incident,Mediterranean,2016-11-16,2016,November,7,96,103,27,,,,Mixed,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy","IOM Italy","POINT (14.4988153 34.2533716)",Uncategorized,,4,
2016.MMP007652,2016.MMP007652,Incident,"North America",2016-11-16,2016,November,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.9245 31.724167)","Northern America",,5,
2016.MMP007653,2016.MMP007653,Incident,"North America",2016-11-16,2016,November,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-111.91801 32.26808)","Northern America",,5,
2016.MMP007654,2016.MMP007654,Incident,"South-eastern Asia",2016-11-30,2016,November,1,,1,1,1,,,"Southern Asia",Violence,,"Unspecified location in Myanmar, near border with Bangladesh",AFP,"POINT (92.6041005 21.7516438)","South-eastern Asia","Around 200 Rohingya stranded at Bangladesh border",1,http://bit.ly/2f34OA9
2016.MMP007655,2016.MMP007655,Incident,"Northern Africa",2016-11-16,2016,November,3,,3,,,3,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Wad Madani, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.4611726 14.3830752)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007656,2016.MMP007656,Incident,"Northern Africa",2016-11-16,2016,November,2,,2,,,2,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.5025561 15.5015341)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007657,2016.MMP007657,Incident,"Northern Africa",2016-11-16,2016,November,4,,4,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","In the Sahara Desert, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (27.86085 20.9166)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007658,2016.MMP007658,Incident,"Northern Africa",2016-11-16,2016,November,2,,2,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (31.5204557 23.285107)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007659,2016.MMP007659,Incident,Europe,2016-11-16,2016,November,1,,1,,1,,,"Eastern Africa","Vehicle accident / death linked to hazardous transport",,"Near the Borghetto station at the border between Veneto and Trentino, Italy","Open Migration","POINT (10.7746988 46.0991713)","Southern Europe","The border crossing deaths at Brenner",4,http://bit.ly/2uLtXwa
2016.MMP007660,2016.MMP007660,Incident,Mediterranean,2016-11-17,2016,November,,25,25,,,,,Unknown,Drowning,"Central Mediterranean","Unspecified location between Libya and Italy",UNHCR,"POINT (14.4988153 34.2533716)",Uncategorized,,4,
2016.MMP007661,2016.MMP007661,Incident,"Eastern Africa",2016-11-17,2016,November,2,,2,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","at the the border with Sudan, near Haikota, Eritrea ","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (23.8458003 20.7852206)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007662,2016.MMP007662,Incident,"Northern Africa",2016-11-17,2016,November,1,,1,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Al Hajer, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (34.6103947 17.1837833)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007663,2016.MMP007663,Incident,"Central America",2016-11-17,2016,November,1,,1,,,,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",,"La Patrona, Amatlán, Veracruz, Mexico","El Piñero de la Cuenca","POINT (-95.8969461 18.2681566)","Central America","VERACRUZ: Centroamericano muere tras caer de la Bestía, mientras cruzaba la comunidad ""La Patrona"" ",1,http://bit.ly/2gjYXaG
2016.MMP007664,2016.MMP007664,Incident,"North America",2016-11-17,2016,November,1,,1,,,1,,"Latin America / Caribbean (P)","Mixed or unknown","US-Mexico border crossing","Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","Pima County Office of the Medical Examiner (PCOME)","POINT (-112.7542 31.8707)","Northern America",,5,
2016.MMP007665,2016.MMP007665,Incident,Mediterranean,2016-11-18,2016,November,6,3,9,4,,,,"Western Asia",Drowning,"Eastern Mediterranean","Unspecified location off the coast of Didim, Aydin, Turkey. Likely en route to Farmakonisi, Greece.",UNHCR,"POINT (27.1845561 37.3470607)",Uncategorized,"Six dead, three missing in latest migrant boat capsizing off Turkey’s Aydın",4,http://bit.ly/2eWhIok
2016.MMP007666,2016.MMP007666,Incident,"Northern Africa",2016-11-18,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","At the desert, after crossing  khartoum, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.4374949 15.3503337)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007667,2016.MMP007667,Incident,"Eastern Africa",2016-11-18,2016,November,1,,1,,,,,"Eastern Africa (P)","Sickness / lack of access to adequate healthcare",,"Near Hargeisa, Somalia","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (44.0293346 9.5488981)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007668,2016.MMP007668,Incident,"Northern Africa",2016-11-18,2016,November,1,,1,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Al Hajer, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (34.6103947 17.1837833)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007669,2016.MMP007669,Incident,"Northern Africa",2016-11-18,2016,November,2,,2,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Al Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (35.3417723 14.0316722)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007670,2016.MMP007670,Incident,"Northern Africa",2016-11-18,2016,November,3,,3,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Atbara, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.9762492 17.6922271)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007671,2016.MMP007671,Incident,"Northern Africa",2016-11-18,2016,November,1,,1,,,,,"Eastern Africa (P)","Sickness / lack of access to adequate healthcare","Sahara Desert crossing","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (31.5204557 23.285107)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007672,2016.MMP007672,Incident,"Northern Africa",2016-11-18,2016,November,2,,2,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","Al Hajer, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (34.6103947 17.1837833)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007673,2016.MMP007673,Incident,"Northern Africa",2016-11-18,2016,November,3,,3,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Atbara, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.9762492 17.6922271)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007674,2016.MMP007674,Incident,"Northern Africa",2016-11-18,2016,November,2,,2,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","In the desert, around Dongola, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (29.9513902 18.9576263)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007675,2016.MMP007675,Incident,"South America",2016-11-19,2016,November,1,,1,,1,,,Caribbean,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Colchane, Región de Tarapacá, near Bolivia border, Chile","CDN, Cosecha Roja","POINT (-68.982765 -19.3626446)","South America","Muere dominicana tratando de llegar ilegal a Chile",3,http://bit.ly/2gb4Xml
2016.MMP007676,2016.MMP007676,Incident,"Eastern Africa",2016-11-19,2016,November,1,,1,,,,,"Eastern Africa (P)",Violence,"Sahara Desert crossing","At the border between Eritrea and Ethiopia, Near guna guna","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (39.3889576 14.543877)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007677,2016.MMP007677,Incident,"Eastern Africa",2016-11-19,2016,November,1,,1,,,,,"Eastern Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",,"Around Mahmimet, Eritrea","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (38.5262201 17.5027901)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007678,2016.MMP007678,Incident,"Northern Africa",2016-11-19,2016,November,1,,1,,,,,"Eastern Africa (P)","Sickness / lack of access to adequate healthcare","Sahara Desert crossing","At the desert, after khartoum, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.4374949 15.3503337)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007679,2016.MMP007679,Incident,"Northern Africa",2016-11-19,2016,November,2,,2,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Al Qadarif, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (35.3417723 14.0316722)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007680,2016.MMP007680,Incident,"Northern Africa",2016-11-19,2016,November,1,,1,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (31.5204557 23.285107)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007681,2016.MMP007681,Incident,"Northern Africa",2016-11-20,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","Singa, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.1522764 12.5881652)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007682,2016.MMP007682,Incident,"Northern Africa",2016-11-20,2016,November,2,,2,,,,,"Eastern Africa (P)","Mixed or unknown","Sahara Desert crossing","In the Sahara desert, around Aswan, Egypt","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.17874 23.96612)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007683,2016.MMP007683,Incident,"Eastern Africa",2016-11-20,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown",,"Near Tadjoura, Djibouti","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (42.8774955 11.7911451)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007684,2016.MMP007684,Incident,"Eastern Africa",2016-11-20,2016,November,2,,2,,,,,"Eastern Africa (P)","Mixed or unknown",,"Near Jijiga, Ethiopia","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (42.7773712 9.3521044)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007685,2016.MMP007685,Incident,"Northern Africa",2016-11-20,2016,November,5,,5,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","In the desert, around Abu Hamad, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (33.2658798 19.6153873)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007686,2016.MMP007686,Incident,"Northern Africa",2016-11-20,2016,November,2,,2,,,,,"Eastern Africa (P)","Vehicle accident / death linked to hazardous transport","Sahara Desert crossing","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (32.5025561 15.5015341)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007687,2016.MMP007687,Incident,"Eastern Africa",2016-11-20,2016,November,1,,1,,,,,"Eastern Africa (P)","Mixed or unknown",,"Arusha, Tanzania","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (36.6421932 -3.3981431)","Eastern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007688,2016.MMP007688,Incident,"Northern Africa",2016-11-21,2016,November,1,,1,,,,,"Eastern Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water","Sahara Desert crossing","In the Sahara Desert, Libya","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (15.5948265 25.550547)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007689,2016.MMP007689,Incident,"Northern Africa",2016-11-21,2016,November,1,,1,,,,,"Eastern Africa (P)","Sickness / lack of access to adequate healthcare","Sahara Desert crossing","In the Sahara Desert, Sudan","Mixed Migration Monitoring Mechanism Initative (4mi)","POINT (28.95899 20.30205)","Northern Africa",,2,http://www.mixedmigration.org/4mi/
2016.MMP007690,2016.MMP007690,Incident,"Central America",2016-11-21,2016,November,1,,1,,,1,,"Central America",Drowning,"US-Mexico border crossing","Río Bravo, Puente Internacional Uno, Piedras Negras, Coahuila, Mexico","La Rancherita del Aire","POINT (-103.434484 27.1334908)","Central America","Muere indigente ahogado en el río Bravo, trataba de cruzar a la unión americana",1,http://bit.ly/2fobUQ3
2016.MMP007691,2016.MMP007691,Incident,Europe,2016-11-21,2016,November,1,,1,,,1,,"Southern Asia",Violence,"Western Balkans","Central Belgrade, Serbia","IOM Belgrade, AP","POINT (20.3944884 44.819432)","Southern Europe","Migrant fight in Belgrade leaves 1 dead, 1 injured",4,http://bit.ly/2fAwA86
